date, pm25, pm10, o3, no2, so2
2023/8/1, 3, 15, 27, 2, 
2023/8/2, 4, 10, 28, 2, 
2023/8/3, 3, 10, 26, 2, 
2023/8/6, 3, 12, 29, 1, 
2023/8/7, 5, 13, 26, 2, 
2023/8/9, 8, 12, 40, 5, 
2023/8/10, 14, 16, 38, 5, 
2023/8/11, 24, 15, 29, 3, 
2023/8/12, 4, 14, 26, 3, 
2023/8/13, 8, 13, 37, 5, 
2023/8/14, 9, 13, 32, 4, 
2023/8/15, 6, 12, 32, 3, 
2023/8/16, 11, 12, 24, 1, 
2023/8/17, 4, 12, 36, 2, 
2023/8/18, 9, 19, 29, 4, 
2023/8/19, 22, 13, 29, 3, 
2023/8/20, 19, 13, 32, 5, 
2023/8/21, 18, 14, 22, 8, 
2023/8/22, 14, 12, 33, 7, 
2023/8/23, 9, 18, 33, 5, 
2023/8/24, 22, 17, 31, 6, 
2023/8/25, 29, 13, 23, 3, 
2023/8/26, 9, 12, 28, 4, 
2023/8/27, 10, 9, 31, 4, 
2023/8/28, 7, 13, 25, 5, 
2023/8/29, 7, 14, 25, 5, 
2023/8/30, 11, 10, 31, 4, 
2023/8/31, 3, 13, 14, 7, 
2023/9/1, 7, 11, 25, 5, 
2023/9/2, 24, 9, 33, 3, 
2023/9/3, 16, 11, 38, 6, 
2023/9/4, 16, 15, 41, 5, 
2023/9/5, 19, 20, 53, 8, 
2023/9/6, 21, 22, 64, 8, 
2023/9/7, 30, 29, 65, 8, 
2023/9/8, 42, 31, 71, 8, 
2023/9/9, 78, 34, 61, 4, 
2023/9/10, 48, 31, 35, 7, 
2023/9/11, 45, 19, 27, 6, 
2023/9/12, 37, 11, 29, 2, 
2023/9/13, 3, 16, 32, 5, 
2023/9/14, 12, 16, 38, 7, 
2023/9/15, 24, 16, 38, 6, 
2023/9/16, 23, 19, 33, 4, 
2023/9/17, 37, 13, 26, 4, 
2023/9/18, 12, 14, 23, 3, 
2023/9/19, 5, 12, 26, 3, 
2023/9/20, 6, 11, 24, 5, 
2023/9/21, 5, 10, 24, 4, 
2023/9/22, 8, 10, 22, 3, 
2023/9/23, 9, 11, 30, 5, 
2023/9/24, 20, 13, 26, 5, 
2023/9/25, 18, 19, 25, 11, 
2023/9/26, 33, 21, 28, 10, 
2023/9/27, 28, 23, 23, 6, 
2023/9/28, 16, 16, 25, 5, 
2023/9/29, 9, 17, 24, 9, 
2023/9/30, 27, 17, 32, 7, 
2023/4/1, 4, 7, 31, 2, 
2023/4/2, 17, 7, 35, 3, 
2023/4/3, 16, 11, 37, 6, 
2023/4/4, 35, 14, 35, 9, 
2023/4/5, 44, 19, 25, 10, 
2023/4/6, 47, 11, 28, 4, 
2023/4/7, 13, 14, 30, 4, 
2023/4/8, 36, 19, 31, 3, 
2023/4/9, 60, 10, 29, 3, 
2023/4/10, 26, 12, 37, 2, 
2023/4/11, 8, 12, 37, 3, 
2023/4/12, 7, 10, 35, 2, 
2023/4/13, 14, 14, 38, 6, 
2023/4/14, 20, 11, 36, 2, 
2023/4/15, 25, 12, 26, 1, 
2023/4/16, 30, 18, 30, 3, 
2023/4/17, 59, 12, 29, 2, 
2023/4/18, 48, 11, 42, 2, 
2023/4/19, 34, 12, 38, 3, 
2023/4/20, 28, 16, 32, 3, 
2023/4/21, 51, 17, 24, 7, 
2023/4/22, 44, 18, 30, 4, 
2023/4/23, 45, 11, 34, 2, 
2023/4/24, 17, 14, 35, 2, 
2023/4/25, 15, 13, 36, 6, 
2023/4/26, 24, 11, 39, 3, 
2023/4/27, 32, 15, 31, 5, 
2023/4/28, 32, 12, 40, 2, 
2023/4/29, 38, 9, 35, 3, 
2023/4/30, 34, 13, 34, 7, 
2023/5/1, 36, 11, 40, 1, 
2023/5/2, 24, 11, 37, 3, 
2023/5/3, 26, 13, 42, 3, 
2023/5/4, 43, 16, 29, 6, 
2023/5/5, 20, 16, 33, 5, 
2023/5/6, 39, 14, 28, 3, 
2023/5/7, 33, 26, 26, 6, 
2023/5/8, 56, 16, 22, 5, 
2023/5/9, 35, 17, 23, 6, 
2023/5/10, 26, 10, 24, 5, 
2023/5/11, 19, 12, 33, 2, 
2023/5/12, 21, 18, 44, 2, 
2023/5/13, 43, 15, 37, 2, 
2023/5/14, 37, 14, 32, 4, 
2023/5/15, 35, 15, 29, 2, 
2023/5/16, 17, 14, 33, 2, 
